Hz,u,widths,width_heights,left_ips,right_ips,prominences,left_bases,right_bases,Bandwidth
"6.6,11.8,17.08","0.022822,0.026722,0.009551","60.73909771329228,221.37908864677706,12.732377227882864","0.018840428571428567,0.013999499999999995,0.007995642857142856","89.55742169768497,73.81461466165412,370.6428283642224","150.29651941097725,295.19370330843117,383.37520559210526","0.007905142857142859,0.02545957142857142,0.0027349999999999987","0,0,364","178,400,400",3.52
"3.36,11.92","0.032123,0.020204","49.750000000000064,39.74907485882284","0.030703999999999988,0.015299071428571426","14.749999999999979,220.7511013215859","64.50000000000004,260.50017618040874","0.0028380000000000037,0.009323857142857142","1,182","400,400",4.72
"4.32,10.68,16.76","0.161587,0.483318,0.739405","12.856831683168352,39.12231988225838,27.545645786268494","0.15602228571428567,0.28092214285714284,0.5737471428571428","50.28594059405938,200.79713244613436,357.04835273368604","63.142772277227735,239.91945232839274,384.59399851995454","0.008862571428571414,0.40396742857142853,0.32657485714285717","42,140,299","138,298,400",8.8
"2.32,6.76","0.096694,0.174793","8.92497848851573,94.20163841013334","0.08987614285714284,0.11856542857142854","3.9499879002984617,71.18735504688917","12.874966388814192,165.3889934570225","0.010448571428571418,0.11033057142857139","0,29","29,266",1.76
"2.36,9.44,16.08","0.029367,0.026739,0.112655","10.995041224970553,23.317000373669373,6.533692002057592","0.025150357142857137,0.024269357142857134,0.11078499999999997","3.4762661955241465,178.5587721850451,349.39269729093047","14.4713074204947,201.87577255871446,355.92638929298806","0.007277285714285715,0.0045338571428571416,0.0018917142857142882","0,89,89","89,217,359",2.32
"6.64,14.96,17.2","0.233856,0.289342,0.226803","21.69898623700287,110.71560722188184,16.824045372086175","0.2215125714285714,0.24062357142857135,0.21634014285714281","104.76536458333335,238.86250531688643,373.1582404565768","126.46435082033622,349.57811253876827,389.98228582866295","0.023880571428571445,0.09488342857142856,0.02018600000000001","81,81,367","137,400,400",3.12
"3.48,6.68,13.04","0.2221,0.198589,0.202351","13.005816952967294,21.453970926172758,69.49969626786424","0.21165471428571425,0.17707678571428564,0.17835321428571424","32.28572048611112,106.13084020416174,253.62517089472885","45.29153743907841,127.5848111303345,323.1248671625931","0.0184054285714286,0.0401364285714286,0.04779442857142857","28,75,183","370,183,370",4.76
"6.56,13.16,17.48","0.168025,0.189185,0.143574","20.76363497320348,39.1702130855586,10.210330921298976","0.15087899999999996,0.15925907142857137,0.12733414285714284","102.96880815241472,260.80975288636824,382.3863341342834","123.7324431256182,299.97996597192684,392.5966650555824","0.03113514285714286,0.05743357142857142,0.02475371428571428","87,87,364","191,364,400",5.16
"3.92,7.4,10.2","0.382291,0.12358,0.097401","10.437521436625481,11.81813313454444,27.23809523809524","0.35935664285714275,0.10532107142857139,0.07804199999999999","42.65281936577798,129.0000231910946,192.42857142857142","53.09034080240346,140.81815632563905,219.66666666666666","0.03618871428571435,0.031238428571428556,0.035197999999999986","38,108,168","342,342,342",1.84
"3.96,9.92,13.88","0.38845,0.115881,0.320693","6.252443875987744,18.488577098804996,29.42073853734678","0.3651862857142857,0.09916149999999999,0.1511342857142857","45.353441712571104,189.11129951655963,283.3592538433417","51.60588558855885,207.59987661536462,312.7799923806885","0.02936885714285714,0.029918999999999987,0.31293857142857134","42,154,265","342,264,342",5.52
"7.24,13.4,14.92","-0.001155,-0.042733,0.008085","36.40070138979087,19.717750133660104,15.431110236934842","-0.015784499999999996,-0.10675099999999998,-0.09036149999999997","109.09968827120406,275.749990450361,314.8273550352251","145.50038966099493,295.4677405840211,330.2584652721599","0.028378999999999995,0.12011599999999997,0.19249299999999994","96,257,257","256,303,342",2.92
"4.24,13.28,14.2","0.225503,0.61745,0.641611","39.52740858592982,6.6994489761497675,25.810814591575593","0.1806329285714285,0.4617449999999999,0.39961649999999993","22.076977077363892,278.9176944891546,292.66666436730867","61.60438566329371,285.61714346530437,318.47747895888426","0.08398842857142857,0.14918542857142858,0.4663469999999999","14,248,248","68,290,371",2.72
"2.52,15.2,16.36","0.467114,0.12349,0.085906","20.935280208308004,13.685195149207402,9.42895977786111","0.2615533571428571,0.06960699999999999,0.05369142857142856","5.906806997118802,323.0,354.3043647258887","26.842087205426807,336.6851951492074,363.7333245037498","0.4065195714285713,0.10009571428571426,0.060594571428571414","0,267,348","267,399,399",4.64
6.4,0.121946,145.6245304,0.076697,52.87513812,198.4996685,0.090498,0,301,3.64
"4.96,15.68","0.273861,0.216238","106.55889477256056,72.72547155208775","0.2055232857142857,0.20456864285714282","24.10473157415833,307.917110799439","130.6636263467189,380.64258235152676","0.1361662857142857,0.023168999999999995","0,199","198,400",3.04
"3.84,7.76,15.88","0.389958,0.256436,0.148939","19.149877926656586,39.16553755522823,24.429617398169285","0.38211771428571417,0.25251585714285707,0.14497849999999995","33.10005303164223,124.58409425625918,331.4991163475699","52.24993095829882,163.7496318114874,355.9287337457392","0.016003428571428613,0.007840285714285744,0.007920999999999984","21,114,321","400,400,400",3.28
"3.96,8.12","0.440877,0.345827","28.61294508573188,42.22926530212024","0.3916953571428571,0.30957764285714273","36.52588834034255,136.37498421916422","65.13883342607443,178.60424952128446","0.09399871428571427,0.0708827142857143","5,118","351,351",2.36
"14.04,14.12,17.32","0.176096,0.176096,0.184017","38.278197802553734,38.278197802553734,18.273673632384657","0.15847628571428568,0.15847628571428568,0.17108521428571422","285.5553809897879,285.5553809897879,375.14288870652103","323.83357879234165,323.83357879234165,393.4165623389057","0.034916571428571436,0.034916571428571436,0.02295385714285711","243,243,243","346,346,400",5.96
4.88,0.113824,30.58333333,0.109420429,54.25,84.83333333,0.008807143,37,397,5.96
"4.2,16.92","0.222026,0.031718","15.14333582832051,12.083154653707027","0.2161736428571428,0.02869714285714285","49.85704248189386,367.25009458948165","65.00037831021437,379.3332492431887","0.009817285714285723,0.005286285714285712","45,363","400,400",7.04
"11.92,14.88,16.44","-0.006615,-0.020623,-0.015175","22.400154202004614,15.219389632476407,19.62069391582935","-0.010505999999999998,-0.02408285714285714,-0.022651428571428565","234.0,314.8055396916048,349.9070045421946","256.4001542020046,330.0249293240812,369.52769845802396","0.007003999999999998,0.005586000000000001,0.013507714285714286","223,303,303","303,338,379",7.44
"2.44,3.88,8.76","0.14878,0.042276,0.053659","7.074767692936492,12.713078605145022,112.6871865834043","0.09715442857142853,0.020934857142857137,0.023606357142857137","6.077347540671676,40.557763269940395,140.37508278928942","13.152115233608168,53.27084187508542,253.06226937269372","0.06957028571428568,0.03408799999999999,0.05511042857142856","0,19,19","396,60,396",2.96
"5.6,8.64,11.04","0.091057,0.10122,0.145528","20.973774539729618,13.209161727980899,54.183593002596695","0.0652727857142857,0.07186399999999998,0.08225871428571427","82.79118458044982,158.8408438629841,194.85410687440208","103.76495912017944,172.050005590965,249.03769987699877","0.04878099999999999,0.04860657142857142,0.12258971428571425","19,19,19","117,179,361",6.64
6.6,0.031602,78,0.0235905,64.5,142.5,0.016023,47,163,3
"4.52,9.08,14.32","0.015263,0.015263,-0.070409","15.533334138914228,201.06296576196797,22.108022416151528","-0.008124071428571427,-0.031054571428571418,-0.0855312857142857","56.05000725373567,51.30711425752916,292.0627062706271","71.5833413926499,252.37008001949712,314.1707286867786","0.04255471428571427,0.09263514285714283,0.030667428571428554","39,39,276","82,400,400",4
"2.48,9.28,17.08","-0.051699,0.028065,-0.342196","9.535561196116461,161.4990114512239,17.598034479930504","-0.08377292857142855,-0.0496587857142857,-0.39276928571428565","6.138857545839211,46.072387760555856,368.055570182037","15.674418741955671,207.57139921177978,385.6536046619675","0.05387928571428571,0.15291557142857137,0.09383142857142857","0,21,358","21,395,395",4.44
"2.48,14.12,17.08","0.342688,-0.115707,-0.13934","7.472307936260831,27.691176571022027,18.51941440984058","0.28676914285714283,-0.14781592857142856,-0.18372378571428566","8.564231738035266,284.0416643159379,365.67107161945484","16.036539674296098,311.73284088695993,384.1904860292954","0.06443028571428572,0.061123857142857146,0.08651642857142852","4,274,355","394,394,394",3.8
"4.52,10.32,12.68","0.037017,0.048202,-0.059654","14.560607452900136,32.76166269987371,16.064869579511026","0.035381428571428564,0.02170421428571428,-0.10749485714285711","53.25164319248827,183.98209735818693,258.33700560766215","67.8122506453884,216.74376005806064,274.4018751871732","0.0029671428571428626,0.05155042857142856,0.0839642857142857","45,144,247","144,247,288",4
"2.48,11.6","0.068584,0.135841","11.349581951539502,143.86438395357237","0.06703557142857142,0.0958122857142857","5.900135562584747,133.1457627118644","17.24971751412425,277.01014666543676","0.0025917142857142805,0.07955114285714285","0,50","49,400",4.28
"4.56,15.08","0.022609,0.231304","10.833433157642553,38.9393304038544","0.02022349999999999,0.2221114999999999","57.99988021082894,311.1869721473494","68.8333133684715,350.1263025512038","0.005963285714285713,0.01798757142857141","51,142","142,374",3.84
"5.8,11.64,16.76","0.030286,0.04315,0.117646","23.104331844028863,10.888991668561061,24.923255841136665","0.023457357142857137,0.04194907142857142,0.10965192857142855","80.15117565698479,236.3332672482157,359.5201225372417","103.25550750101365,247.22225891677675,384.4433783783784","0.012720142857142853,0.0019218571428571418,0.015410714285714278","67,177,177","177,252,400",5.24
"9.32,15.6","0.059259,0.038889","57.423455125299284,56.59429024779348","0.04359292857142856,0.03460649999999999","151.55057961504812,293.44616509371264","208.9740347403474,350.0404553415061","0.027760999999999987,0.008565","102,255","252,355",6.28
11.64,0.341267,58.88826993,0.332457571,201.0005391,259.888809,0.017619143,46,280,9.16
"2.36,9.44,15.04","0.028026,0.02186,0.04447","11.24193576386629,36.46100858144635,61.392514595496266","0.024869428571428563,0.018613571428571424,0.03359721428571428","3.556497175141242,175.16330686214621,290.05973728106756","14.798432939007531,211.62431544359256,351.4522518765638","0.006215428571428566,0.00642742857142857,0.02174557142857143","0,45,45","43,256,364",5.2
"4.4,9.0,13.92","0.004046,0.025971,0.036248","18.143846773969372,81.30966849932695,43.761069092186574","0.0009543571428571431,0.009796071428571428,0.014869642857142852","53.090280210157616,116.08202614379086,273.50023885350316","71.23412698412699,197.3916946431178,317.26130794568974","0.006150142857142856,0.03176185714285713,0.04243071428571428","41,41,41","81,218,370",6.4
"5.0,9.24,15.36","0.010897,0.015465,0.01752","34.37835080163718,48.05020952237004,63.61497986626779","0.00616642857142857,0.00906185714285714,0.011435428571428569","60.45461783439491,159.37492182614133,288.1244071506749","94.83296863603209,207.42513134851137,351.7393870169427","0.00880885714285714,0.012806285714285711,0.012169142857142852","42,42,42","120,263,371",3.32
"2.6,4.84,15.08","0.783844,0.772145,0.473816","11.87501068467391,37.166870864821796,35.00002849165196","0.7750694999999999,0.7545959999999998,0.4591919999999999","7.5,54.33325735126508,308.5","19.37501068467391,91.50012821608688,343.50002849165196","0.017548999999999926,0.03509799999999985,0.02924800000000005","0,43,293","353,353,353",6.92
"4.16,15.04","0.485515,0.269081","90.37492520362915,28.33335232776807","0.4543869999999999,0.2603064999999999","18.87503205402172,314.166647672232","109.24995725765086,342.50000000000006","0.06225599999999992,0.017549000000000037","0,300","290,352",7.84
6.88,1.807521,180.5001068,1.6462395,26.99993589,207.5000427,0.322563,0,400,6.88
9.32,0.745877,181.4,0.567037857,95.2,276.6,0.355536571,0,362,8.84
"4.2,8.48,15.72","0.476012,0.491004,0.427286","105.40282142116031,69.16666666666671,21.21822701916085","0.4520505714285713,0.44950728571428555,0.39315142857142843","10.472178578839708,147.58333333333331,329.84999999999997","115.87500000000001,216.75000000000003,351.0682270191608","0.047922857142857156,0.0829934285714285,0.06719828571428577","0,0,266","138,363,363",6.76
9.56,0.425621,245.0129105,0.359983357,91.68731612,336.7002266,0.130619857,0,400,5.24
8,0.292254,289.7308525,0.266096929,46.60082363,336.3316761,0.052314143,0,400,2
